,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
0,aardd001,Aardsma,David,04/06/2004,,,,2004-04-06,David Aardsma
4,abada001,Abad,Andy,09/10/2001,,,,2001-09-10,Andy Abad
5,abadf001,Abad,Fernando,07/28/2010,,,,2010-07-28,Fernando Abad
13,abboj002,Abbott,Jeff,06/10/1997,,,,1997-06-10,Jeff Abbott
14,abboj001,Abbott,Jim,04/08/1989,,,,1989-04-08,Jim Abbott
15,abbok002,Abbott,Kurt,09/07/1993,,,,1993-09-07,Kurt Abbott
16,abbok001,Abbott,Kyle,09/10/1991,,,,1991-09-10,Kyle Abbott
18,abbop001,Abbott,Paul,08/21/1990,,,,1990-08-21,Paul Abbott
22,aberr001,Abercrombie,Reggie,04/04/2006,,,,2006-04-04,Reggie Abercrombie
24,aberb001,Abernathy,Brent,06/25/2001,,,,2001-06-25,Brent Abernathy
30,abnes001,Abner,Shawn,09/08/1987,,,,1987-09-08,Shawn Abner
33,abrej001,Abrego,Johnny,09/04/1985,,,,1985-09-04,Johnny Abrego
34,abreb001,Abreu,Bobby,09/01/1996,,,,1996-09-01,Bobby Abreu
36,abrej003,Abreu,Jose,03/31/2014,,,,2014-03-31,Jose Abreu
37,abrej002,Abreu,Juan,08/29/2011,,,,2011-08-29,Juan Abreu
38,abret001,Abreu,Tony,05/22/2007,,,,2007-05-22,Tony Abreu
39,abrew001,Abreu,Winston,08/06/2006,,,,2006-08-06,Winston Abreu
41,accaj001,Accardo,Jeremy,05/04/2005,,,,2005-05-04,Jeremy Accardo
42,acevj002,Acevedo,Jose,06/19/2001,,,,2001-06-19,Jose Acevedo
43,acevj001,Acevedo,Juan,04/30/1995,,,,1995-04-30,Juan Acevedo
44,aceva001,Aceves,Alfredo,08/31/2008,,,,2008-08-31,Alfredo Aceves
45,achta001,Achter,A.J.,09/03/2014,,,,2014-09-03,A.J. Achter
46,ackej001,Acker,Jim,04/07/1983,,,,1983-04-07,Jim Acker
48,ackld001,Ackley,Dustin,06/17/2011,,,,2011-06-17,Dustin Ackley
53,acosm001,Acosta,Manny,08/12/2007,,,,2007-08-12,Manny Acosta
56,acrem001,Acre,Mark,05/13/1994,,,,1994-05-13,Mark Acre
62,adamc001,Adames,Cristhian,07/29/2014,,,,2014-07-29,Cristhian Adames
64,adama001,Adams,Austin,07/12/2014,,,,2014-07-12,Austin Adams
65,adama002,Adams,Austin,07/15/2017,,,,2017-07-15,Austin Adams
74,adamd001,Adams,David,05/15/2013,,,,2013-05-15,David Adams
85,adaml001,Adams,Lane,09/01/2014,,,,2014-09-01,Lane Adams
86,adamm002,Adams,Matt,05/20/2012,,,,2012-05-20,Matt Adams
87,adamm001,Adams,Mike,05/18/2004,,,,2004-05-18,Mike Adams
91,adamr001,Adams,Ricky,09/15/1982,,,,1982-09-15,Ricky Adams
92,adamr002,Adams,Russ,09/03/2004,,,,2004-09-03,Russ Adams
93,adamr003,Adams,Ryan,05/20/2011,,,,2011-05-20,Ryan Adams
96,adamt001,Adams,Terry,08/10/1995,,,,1995-08-10,Terry Adams
97,adamw001,Adams,Willie,06/11/1996,,,,1996-06-11,Willie Adams
99,adamj001,Adamson,Joel,04/10/1996,,,,1996-04-10,Joel Adamson
102,adcon001,Adcock,Nathan,03/31/2011,,,,2011-03-31,Nathan Adcock
105,adduj002,Adduci,Jim,09/01/2013,,,,2013-09-01,Jim Adduci
106,adduj001,Adduci,Jim,09/12/1983,,,,1983-09-12,Jim Adduci
108,adenn001,Adenhart,Nick,05/01/2008,,,,2008-05-01,Nick Adenhart
114,adkij001,Adkins,Jon,08/14/2003,,,,2003-08-14,Jon Adkins
115,adkis001,Adkins,Steve,09/12/1990,,,,1990-09-12,Steve Adkins
116,adlet001,Adleman,Tim,05/01/2016,,,,2016-05-01,Tim Adleman
119,adrie001,Adrianza,Ehire,09/08/2013,,,,2013-09-08,Ehire Adrianza
120,afent001,Afenir,Troy,09/14/1987,,,,1987-09-14,Troy Afenir
121,affej001,Affeldt,Jeremy,04/06/2002,,,,2002-04-06,Jeremy Affeldt
122,agbab001,Agbayani,Benny,06/17/1998,,,,1998-06-17,Benny Agbayani
127,agosj001,Agosto,Juan,09/07/1981,,,,1981-09-07,Juan Agosto
128,agual001,Aguayo,Luis,04/19/1980,,06/17/2008,,1980-04-19,Luis Aguayo
129,aguic001,Aguila,Chris,06/28/2004,,,,2004-06-28,Chris Aguila
130,aguij001,Aguilar,Jesus,05/15/2014,,,,2014-05-15,Jesus Aguilar
131,aguir001,Aguilera,Rick,06/12/1985,,,,1985-06-12,Rick Aguilera
134,aheap001,Ahearne,Pat,06/14/1995,,,,1995-06-14,Pat Ahearne
135,ahmen001,Ahmed,Nick,06/29/2014,,,,2014-06-29,Nick Ahmed
139,ainsk001,Ainsworth,Kurt,09/05/2001,,,,2001-09-05,Kurt Ainsworth
144,akerd001,Akerfelds,Darrel,08/01/1986,,06/11/2001,,1986-08-01,Darrel Akerfelds
147,albag001,Alba,Gibson,05/03/1988,,,,1988-05-03,Gibson Alba
148,albaj001,Albaladejo,Jonathan,09/05/2007,,,,2007-09-05,Jonathan Albaladejo
150,albej001,Alberro,Jose,04/27/1995,,,,1995-04-27,Jose Alberro
151,albea001,Albers,Andrew,08/06/2013,,,,2013-08-06,Andrew Albers
152,albem001,Albers,Matt,07/25/2006,,,,2006-07-25,Matt Albers
153,albeh001,Alberto,Hanser,05/29/2015,,,,2015-05-29,Hanser Alberto
157,albio001,Albies,Ozzie,08/01/2017,,,,2017-08-01,Ozzie Albies
161,albua001,Alburquerque,Al,04/15/2011,,,,2011-04-15,Al Alburquerque
164,alcaa001,Alcantara,Arismendy,07/09/2014,,,,2014-07-09,Arismendy Alcantara
165,alcai001,Alcantara,Israel,06/25/2000,,,,2000-06-25,Israel Alcantara
166,alcar001,Alcantara,Raul,09/05/2016,,,,2016-09-05,Raul Alcantara
167,alcas001,Alcantara,Sandy,09/03/2017,,,,2017-09-03,Sandy Alcantara
168,alcav001,Alcantara,Victor,09/05/2017,,,,2017-09-05,Victor Alcantara
172,aldrs001,Aldred,Scott,09/09/1990,,,,1990-09-09,Scott Aldred
173,aldrm001,Aldrete,Mike,05/28/1986,,04/06/2004,,1986-05-28,Mike Aldrete
174,aldrj001,Aldrich,Jay,06/05/1987,,,,1987-06-05,Jay Aldrich
175,aldrc001,Aldridge,Cory,09/05/2001,,,,2001-09-05,Cory Aldridge
183,alexg001,Alexander,Gerald,09/09/1990,,,,1990-09-09,Gerald Alexander
185,alexm001,Alexander,Manny,09/18/1992,,,,1992-09-18,Manny Alexander
189,alexs001,Alexander,Scott,09/02/2015,,,,2015-09-02,Scott Alexander
191,alfaj001,Alfaro,Jason,09/09/2004,,,,2004-09-09,Jason Alfaro
192,alfaj002,Alfaro,Jorge,09/12/2016,,,,2016-09-12,Jorge Alfaro
193,alfoa001,Alfonseca,Antonio,06/17/1997,,,,1997-06-17,Antonio Alfonseca
195,alfoe001,Alfonzo,Edgardo,04/26/1995,,,,1995-04-26,Edgardo Alfonzo
196,alfoe002,Alfonzo,Eliezer,06/03/2006,,,,2006-06-03,Eliezer Alfonzo
197,alfoa002,Alford,Anthony,05/19/2017,,,,2017-05-19,Anthony Alford
199,alicl001,Alicea,Luis,04/23/1988,,04/02/2007,,1988-04-23,Luis Alicea
200,allaa001,Allanson,Andy,04/07/1986,,,,1986-04-07,Andy Allanson
207,alleb001,Allen,Brandon,08/22/2009,,,,2009-08-22,Brandon Allen
208,allec001,Allen,Chad,04/06/1999,,,,1999-04-06,Chad Allen
209,allec002,Allen,Cody,07/20/2012,,,,2012-07-20,Cody Allen
211,alled001,Allen,Dusty,07/01/2000,,,,2000-07-01,Dusty Allen
214,alleg002,Allen,Greg,09/01/2017,,,,2017-09-01,Greg Allen
220,allej101,Allen,Jamie,05/01/1983,,,,1983-05-01,Jamie Allen
223,allek101,Allen,Kim,09/02/1980,,,,1980-09-02,Kim Allen
225,allel001,Allen,Luke,09/10/2002,,,,2002-09-10,Luke Allen
230,aller001,Allen,Rod,04/07/1983,,,,1983-04-07,Rod Allen
234,allej001,Allensworth,Jermaine,07/23/1996,,,,1996-07-23,Jermaine Allensworth
242,allid001,Allison,Dana,04/12/1991,,,,1991-04-12,Dana Allison
246,allrb001,Allred,Beau,09/07/1989,,,,1989-09-07,Beau Allred
248,almaa001,Almanza,Armando,07/29/1999,,,,1999-07-29,Armando Almanza
249,almac001,Almanzar,Carlos,09/04/1997,,,,1997-09-04,Carlos Almanzar
252,almoa001,Almonte,Abraham,08/30/2013,,,,2013-08-30,Abraham Almonte
253,almoe002,Almonte,Edwin,07/07/2003,,,,2003-07-07,Edwin Almonte
254,almoe001,Almonte,Erick,09/04/2001,,,,2001-09-04,Erick Almonte
255,almoh001,Almonte,Hector,07/26/1999,,,,1999-07-26,Hector Almonte
256,almom001,Almonte,Miguel,09/01/2015,,,,2015-09-01,Miguel Almonte
257,almoz001,Almonte,Zoilo,06/19/2013,,,,2013-06-19,Zoilo Almonte
258,almoa002,Almora,Albert,06/07/2016,,,,2016-06-07,Albert Almora
260,alomr001,Alomar,Roberto,04/22/1988,,,,1988-04-22,Roberto Alomar
262,aloms001,Alomar,Sandy,09/30/1988,9/28/2012,03/31/2008,,1988-09-30,Sandy Alomar
263,alony001,Alonso,Yonder,09/01/2010,,,,2010-09-01,Yonder Alonso
267,aloum001,Alou,Moises,07/26/1990,,,,1990-07-26,Moises Alou
271,alstg001,Alston,Garvin,06/06/1996,,04/04/2016,,1996-06-06,Garvin Alston
274,altap001,Altamirano,Porfi,05/09/1982,,,,1982-05-09,Porfi Altamirano
275,altad001,Altavilla,Dan,08/27/2016,,,,2016-08-27,Dan Altavilla
278,altha001,Altherr,Aaron,06/16/2014,,,,2014-06-16,Aaron Altherr
283,altuj001,Altuve,Jose,07/20/2011,,,,2011-07-20,Jose Altuve
285,alvaj004,Alvarado,Jose,05/04/2017,,,,2017-05-04,Jose Alvarado
287,alvaa001,Alvarez,Abe,07/22/2004,,,,2004-07-22,Abe Alvarez
288,alvac001,Alvarez,Clemente,09/19/2000,,,,2000-09-19,Clemente Alvarez
289,alvad002,Alvarez,Dariel,08/28/2015,,,,2015-08-28,Dariel Alvarez
290,alvad001,Alvarez,Dario,09/03/2014,,,,2014-09-03,Dario Alvarez
291,alvag001,Alvarez,Gabe,06/22/1998,,,,1998-06-22,Gabe Alvarez
292,alvah001,Alvarez,Henderson,08/10/2011,,,,2011-08-10,Henderson Alvarez
293,alvaj003,Alvarez,Jose,06/09/2013,,,,2013-06-09,Jose Alvarez
294,alvaj001,Alvarez,Jose,10/01/1981,,,,1981-10-01,Jose Alvarez
295,alvaj002,Alvarez,Juan,09/01/1999,,,,1999-09-01,Juan Alvarez
298,alvap001,Alvarez,Pedro,06/16/2010,,,,2010-06-16,Pedro Alvarez
299,alvar001,Alvarez,R.J.,09/03/2014,,,,2014-09-03,R.J. Alvarez
301,alvat001,Alvarez,Tavo,08/21/1995,,,,1995-08-21,Tavo Alvarez
302,alvat002,Alvarez,Tony,09/04/2002,,,,2002-09-04,Tony Alvarez
303,alvav001,Alvarez,Victor,07/30/2002,,,,2002-07-30,Victor Alvarez
304,alvaw001,Alvarez,Wilson,07/24/1989,,,,1989-07-24,Wilson Alvarez
309,amarr001,Amaral,Rich,05/27/1991,,,,1991-05-27,Rich Amaral
310,amara001,Amarista,Alexi,04/26/2011,,,,2011-04-26,Alexi Amarista
311,amarr002,Amaro,Ruben,06/08/1991,,04/05/2016,,1991-06-08,Ruben Amaro
314,ambrc001,Ambres,Chip,07/20/2005,,,,2005-07-20,Chip Ambres
315,ambrh001,Ambriz,Hector,04/30/2010,,,,2010-04-30,Hector Ambriz
316,amele001,Amelung,Ed,07/28/1984,,,,1984-07-28,Ed Amelung
318,amess001,Ames,Steve,07/30/2013,,,,2013-07-30,Steve Ames
319,ameza001,Amezaga,Alfredo,05/24/2002,,,,2002-05-24,Alfredo Amezaga
326,andea001,Anderson,Allan,06/11/1986,,,,1986-06-11,Allan Anderson
332,andeb001,Anderson,Brady,04/04/1988,,,,1988-04-04,Brady Anderson
333,andeb004,Anderson,Brett,04/10/2009,,,,2009-04-10,Brett Anderson
334,andeb003,Anderson,Brian,08/16/2005,,,,2005-08-16,Brian Anderson
335,andeb006,Anderson,Brian,09/01/2017,,,,2017-09-01,Brian Anderson
336,andeb002,Anderson,Brian,09/10/1993,,,,1993-09-10,Brian Anderson
337,andeb005,Anderson,Bryan,04/15/2010,,,,2010-04-15,Bryan Anderson
338,andeb101,Anderson,Bud,06/11/1982,,,,1982-06-11,Bud Anderson
339,andec001,Anderson,Chase,05/11/2014,,,,2014-05-11,Chase Anderson
340,andec002,Anderson,Cody,06/21/2015,,,,2015-06-21,Cody Anderson
342,anded001,Anderson,Dave,05/08/1983,,04/06/2009,,1983-05-08,Dave Anderson
344,anded003,Anderson,Drew,08/01/2017,,,,2017-08-01,Drew Anderson
345,anded002,Anderson,Drew,09/11/2006,,,,2006-09-11,Drew Anderson
349,andeg001,Anderson,Garret,07/27/1994,,,,1994-07-27,Garret Anderson
354,andej003,Anderson,Jason,03/31/2003,,,,2003-03-31,Jason Anderson
356,andej002,Anderson,Jimmy,07/04/1999,,,,1999-07-04,Jimmy Anderson
359,andej004,Anderson,Josh,09/02/2007,,,,2007-09-02,Josh Anderson
360,andek001,Anderson,Kent,04/15/1989,,,,1989-04-15,Kent Anderson
362,andel002,Anderson,Lars,09/06/2010,,,,2010-09-06,Lars Anderson
363,andem003,Anderson,Marlon,09/08/1998,,,,1998-09-08,Marlon Anderson
364,andem002,Anderson,Matt,06/25/1998,,,,1998-06-25,Matt Anderson
366,andem001,Anderson,Mike,09/07/1993,,,,1993-09-07,Mike Anderson
369,ander001,Anderson,Rick,06/09/1986,,04/01/2002,,1986-06-09,Rick Anderson
371,andes001,Anderson,Scott,04/08/1987,,,,1987-04-08,Scott Anderson
373,andet001,Anderson,Tim,06/10/2016,,,,2016-06-10,Tim Anderson
374,andet002,Anderson,Tyler,06/12/2016,,,,2016-06-12,Tyler Anderson
378,andir001,Andino,Robert,09/04/2005,,,,2005-09-04,Robert Andino
379,andrs002,Andrade,Steve,05/01/2006,,,,2006-05-01,Steve Andrade
385,andrc001,Andrews,Clayton,04/16/2000,,,,2000-04-16,Clayton Andrews
397,andrs001,Andrews,Shane,04/26/1995,,,,1995-04-26,Shane Andrews
400,andrm001,Andriese,Matt,04/10/2015,,,,2015-04-10,Matt Andriese
402,andre001,Andrus,Elvis,04/06/2009,,,,2009-04-06,Elvis Andrus
406,andul001,Andujar,Luis,09/08/1995,,,,1995-09-08,Luis Andujar
407,andum001,Andujar,Miguel,06/28/2017,,,,2017-06-28,Miguel Andujar
409,anglm001,Angle,Matt,07/17/2011,,,,2011-07-17,Matt Angle
412,ankir001,Ankiel,Rick,08/23/1999,,,,1999-08-23,Rick Ankiel
413,annad001,Anna,Dean,04/04/2014,,,,2014-04-04,Dean Anna
417,anthe001,Anthony,Eric,07/28/1989,,,,1989-07-28,Eric Anthony
420,antod001,Antolin,Dustin,05/16/2016,,,,2016-05-16,Dustin Antolin
423,antom001,Antonelli,Matt,09/01/2008,,,,2008-09-01,Matt Antonelli
425,aokin001,Aoki,Nori,04/06/2012,,,,2012-04-06,Nori Aoki
428,aponl001,Aponte,Luis,09/04/1980,,,,1980-09-04,Luis Aponte
430,appik001,Appier,Kevin,06/04/1989,,,,1989-06-04,Kevin Appier
435,aquig001,Aquino,Greg,07/02/2004,,,,2004-07-02,Greg Aquino
436,aquij001,Aquino,Jayson,07/04/2016,,,,2016-07-04,Jayson Aquino
437,aquil001,Aquino,Luis,08/08/1986,,,,1986-08-08,Luis Aquino
440,aranv001,Arano,Victor,09/12/2017,,,,2017-09-12,Victor Arano
442,araue001,Araujo,Elvis,05/05/2015,,,,2015-05-05,Elvis Araujo
444,archc001,Archer,Chris,06/20/2012,,,,2012-06-20,Chris Archer
450,arcio002,Arcia,Orlando,08/02/2016,,,,2016-08-02,Orlando Arcia
451,arcio001,Arcia,Oswaldo,04/15/2013,,,,2013-04-15,Oswaldo Arcia
455,ardod001,Ardoin,Danny,08/02/2000,,,,2000-08-02,Danny Ardoin
457,arenn001,Arenado,Nolan,04/28/2013,,,,2013-04-28,Nolan Arenado
458,arenj001,Arencibia,J.P.,08/07/2010,,,,2010-08-07,J.P. Arencibia
460,ariaa002,Arias,Alberto,05/01/2007,,,,2007-05-01,Alberto Arias
461,ariaa001,Arias,Alex,05/12/1992,,,,1992-05-12,Alex Arias
462,ariag001,Arias,George,04/02/1996,,,,1996-04-02,George Arias
463,ariaj001,Arias,Joaquin,09/13/2006,,,,2006-09-13,Joaquin Arias
468,armam001,Armas,Marcos,05/25/1993,,,,1993-05-25,Marcos Armas
469,armat002,Armas,Tony,08/16/1999,,,,1999-08-16,Tony Armas
479,armsj001,Armstrong,Jack,06/21/1988,,,,1988-06-21,Jack Armstrong
480,armsm001,Armstrong,Mike,08/12/1980,,,,1980-08-12,Mike Armstrong
482,armss001,Armstrong,Shawn,08/08/2015,,,,2015-08-08,Shawn Armstrong
484,arndl001,Arndt,Larry,06/06/1989,,,,1989-06-06,Larry Arndt
488,arnoj001,Arnold,Jamie,04/20/1999,,,,1999-04-20,Jamie Arnold
489,arnos001,Arnold,Scott,04/07/1988,,,,1988-04-07,Scott Arnold
490,arnot001,Arnold,Tony,08/09/1986,,,,1986-08-09,Tony Arnold
492,arnsb001,Arnsberg,Brad,09/06/1986,,04/03/2000,,1986-09-06,Brad Arnsberg
494,aro-j001,Aro,Jonathan,06/25/2015,,,,2015-06-25,Jonathan Aro
495,arocr001,Arocha,Rene,04/09/1993,,,,1993-04-09,Rene Arocha
496,arrej001,Arredondo,Jose,05/14/2008,,,,2008-05-14,Jose Arredondo
497,arrij001,Arrieta,Jake,06/10/2010,,,,2010-06-10,Jake Arrieta
499,arror001,Arrojo,Rolando,04/01/1998,,,,1998-04-01,Rolando Arrojo
500,arrob001,Arroyo,Bronson,06/12/2000,,,,2000-06-12,Bronson Arroyo
501,arroc001,Arroyo,Christian,04/24/2017,,,,2017-04-24,Christian Arroyo
505,arrue001,Arruebarrena,Erisbel,05/23/2014,,,,2014-05-23,Erisbel Arruebarrena
509,asadr001,Asadoor,Randy,09/14/1986,,,,1986-09-14,Randy Asadoor
512,ascaj001,Ascanio,Jose,07/13/2007,,,,2007-07-13,Jose Ascanio
513,aschc001,Asche,Cody,07/30/2013,,,,2013-07-30,Cody Asche
515,asenm001,Asencio,Miguel,04/06/2002,,,,2002-04-06,Miguel Asencio
519,ashba002,Ashby,Andy,06/10/1991,,,,1991-06-10,Andy Ashby
520,ashea001,Asher,Alec,08/30/2015,,,,2015-08-30,Alec Asher
523,ashlb001,Ashley,Billy,09/01/1992,,,,1992-09-01,Billy Ashley
524,ashln001,Ashley,Nevin,09/09/2015,,,,2015-09-09,Nevin Ashley
529,assep001,Assenmacher,Paul,04/12/1986,,,,1986-04-12,Paul Assenmacher
530,astae001,Astacio,Ezequiel,05/03/2005,,,,2005-05-03,Ezequiel Astacio
531,astap001,Astacio,Pedro,07/03/1992,,,,1992-07-03,Pedro Astacio
532,astib001,Astin,Barrett,04/03/2017,,,,2017-04-03,Barrett Astin
534,asuac001,Asuaje,Carlos,09/21/2016,,,,2016-09-21,Carlos Asuaje
535,atchs001,Atchison,Scott,07/31/2004,,,,2004-07-31,Scott Atchison
536,atchj001,Atchley,Justin,04/07/2001,,,,2001-04-07,Justin Atchley
538,athek001,Atherton,Keith,07/14/1983,,,,1983-07-14,Keith Atherton
539,atill001,Atilano,Luis,04/23/2010,,,,2010-04-23,Luis Atilano
540,atkig001,Atkins,Garrett,08/03/2003,,,,2003-08-03,Garrett Atkins
542,atkim001,Atkins,Mitch,07/29/2009,,,,2009-07-29,Mitch Atkins
554,aubrm001,Aubrey,Michael,05/17/2008,,,,2008-05-17,Michael Aubrey
555,aucod001,Aucoin,Derek,05/21/1996,,,,1996-05-21,Derek Aucoin
556,auder001,Aude,Rich,09/09/1993,,,,1993-09-09,Rich Aude
559,augeb001,Augenstein,Bryan,05/13/2009,,,,2009-05-13,Bryan Augenstein
560,augud001,August,Don,06/02/1988,,,,1988-06-02,Don August
566,aumop001,Aumont,Phillippe,08/23/2012,,,,2012-08-23,Phillippe Aumont
567,aurir001,Aurilia,Rich,09/06/1995,,,,1995-09-06,Rich Aurilia
568,ausaj001,Ausanio,Joe,07/14/1994,,,,1994-07-14,Joe Ausanio
569,ausmb001,Ausmus,Brad,07/28/1993,3/31/2014,,,1993-07-28,Brad Ausmus
573,austj002,Austin,Jeff,06/26/2001,,,,2001-06-26,Jeff Austin
574,austj001,Austin,Jim,07/04/1991,,,,1991-07-04,Jim Austin
577,austt001,Austin,Tyler,08/13/2016,,,,2016-08-13,Tyler Austin
582,avenb001,Aven,Bruce,08/27/1997,,,,1997-08-27,Bruce Aven
586,avers001,Avery,Steve,06/13/1990,,,,1990-06-13,Steve Avery
587,averx001,Avery,Xavier,05/13/2012,,,,2012-05-13,Xavier Avery
588,avila001,Avila,Alex,08/06/2009,,,,2009-08-06,Alex Avila
590,avill001,Avilan,Luis,07/14/2012,,,,2012-07-14,Luis Avilan
591,avilm001,Aviles,Mike,05/29/2008,,,,2008-05-29,Mike Aviles
594,axeld001,Axelrod,Dylan,09/07/2011,,,,2011-09-07,Dylan Axelrod
595,axfoj001,Axford,John,09/15/2009,,,,2009-09-15,John Axford
597,ayalb002,Ayala,Bobby,09/05/1992,,,,1992-09-05,Bobby Ayala
598,ayall001,Ayala,Luis,03/31/2003,,,,2003-03-31,Luis Ayala
599,aybae001,Aybar,Erick,05/16/2006,,,,2006-05-16,Erick Aybar
600,aybam001,Aybar,Manny,08/04/1997,,,,1997-08-04,Manny Aybar
601,aybaw001,Aybar,Willy,08/31/2005,,,,2005-08-31,Willy Aybar
607,ayrab001,Ayrault,Bob,06/07/1992,,,,1992-06-07,Bob Ayrault
608,ayraj001,Ayrault,Joe,09/01/1996,,,,1996-09-01,Joe Ayrault
610,azoco001,Azocar,Oscar,07/17/1990,,,,1990-07-17,Oscar Azocar
616,babis101,Babitt,Shooty,04/09/1981,,,,1981-04-09,Shooty Babitt
617,backb001,Backe,Brandon,07/19/2002,,,,2002-07-19,Brandon Backe
619,backw001,Backman,Wally,09/02/1980,,,,1980-09-02,Wally Backman
621,bacsm001,Bacsik,Michael,08/05/2001,,,,2001-08-05,Michael Bacsik
624,badeb001,Badenhop,Burke,04/09/2008,,,,2008-04-09,Burke Badenhop
626,badeh001,Bader,Harrison,07/25/2017,,,,2017-07-25,Harrison Bader
630,baekc001,Baek,Cha-Seung,08/08/2004,,,,2004-08-08,Cha-Seung Baek
631,baerc001,Baerga,Carlos,04/14/1990,,,,1990-04-14,Carlos Baerga
632,baezb001,Baez,Benito,08/25/2001,,,,2001-08-25,Benito Baez
633,baezd001,Baez,Danys,05/13/2001,,,,2001-05-13,Danys Baez
634,baezj001,Baez,Javier,08/05/2014,,,,2014-08-05,Javier Baez
636,baezk001,Baez,Kevin,09/03/1990,,,,1990-09-03,Kevin Baez
637,baezp001,Baez,Pedro,05/05/2014,,,,2014-05-05,Pedro Baez
643,bagwj001,Bagwell,Jeff,04/08/1991,,07/16/2010,,1991-04-08,Jeff Bagwell
648,bails001,Bailes,Scott,04/09/1986,,,,1986-04-09,Scott Bailes
649,baila001,Bailey,Andrew,04/06/2009,,,,2009-04-06,Andrew Bailey
654,bailc001,Bailey,Cory,09/01/1993,,,,1993-09-01,Cory Bailey
659,bailh001,Bailey,Homer,06/08/2007,,,,2007-06-08,Homer Bailey
660,bailh101,Bailey,Howard,04/12/1981,,,,1981-04-12,Howard Bailey
661,bailj001,Bailey,Jeff,07/06/2007,,,,2007-07-06,Jeff Bailey
664,bailm001,Bailey,Mark,04/27/1984,,05/15/2002,,1984-04-27,Mark Bailey
665,bailr001,Bailey,Roger,04/27/1995,,,,1995-04-27,Roger Bailey
670,bainh001,Baines,Harold,04/10/1980,,04/05/2004,,1980-04-10,Harold Baines
676,baisj001,Baisley,Jeff,09/09/2008,,,,2008-09-09,Jeff Baisley
677,bajej001,Bajenaru,Jeff,09/04/2004,,,,2004-09-04,Jeff Bajenaru
685,baked101,Baker,Dave,09/12/1982,,,,1982-09-12,Dave Baker
687,baked001,Baker,Doug,07/02/1984,,,,1984-07-02,Doug Baker
698,bakej001,Baker,Jeff,04/04/2005,,,,2005-04-04,Jeff Baker
701,bakej002,Baker,John,07/09/2008,,,,2008-07-09,John Baker
707,bakes002,Baker,Scott,05/07/2005,,,,2005-05-07,Scott Baker
708,bakes001,Baker,Scott,07/17/1995,,,,1995-07-17,Scott Baker
714,bakop001,Bako,Paul,04/30/1998,,,,1998-04-30,Paul Bako
717,balbs001,Balboni,Steve,04/22/1981,,,,1981-04-22,Steve Balboni
719,baldr001,Baldelli,Rocco,03/31/2003,,04/06/2015,,2003-03-31,Rocco Baldelli
726,baldj002,Baldwin,James,04/30/1995,,,,1995-04-30,James Baldwin
727,baldj001,Baldwin,Jeff,05/22/1990,,,,1990-05-22,Jeff Baldwin
734,balej001,Bale,John,09/30/1999,,,,1999-09-30,John Bale
736,balew001,Balentien,Wladimir,09/04/2007,,,,2007-09-04,Wladimir Balentien
738,balec001,Balester,Collin,07/01/2008,,,,2008-07-01,Collin Balester
739,balfg001,Balfour,Grant,07/22/2001,,,,2001-07-22,Grant Balfour
741,ballj003,Ball,Jeff,06/10/1998,,,,1998-06-10,Jeff Ball
745,ballj002,Ballard,Jeff,05/09/1987,,,,1987-05-09,Jeff Ballard
747,ballj001,Baller,Jay,09/19/1982,,,,1982-09-19,Jay Baller
758,banda001,Banda,Anthony,07/22/2017,,,,2017-07-22,Anthony Banda
759,bandc001,Bando,Chris,08/13/1981,,04/02/1996,,1981-08-13,Chris Bando
761,bandj001,Bandy,Jett,09/14/2015,,,,2015-09-14,Jett Bandy
764,banij001,Banister,Jeff,07/23/1991,4/6/2015,08/10/2010,,1991-07-23,Jeff Banister
766,banks001,Bankhead,Scott,05/25/1986,,,,1986-05-25,Scott Bankhead
767,bankb001,Banks,Brian,09/09/1996,,,,1996-09-09,Brian Banks
770,bankj001,Banks,Josh,09/11/2007,,,,2007-09-11,Josh Banks
771,bankw001,Banks,Willie,07/31/1991,,,,1991-07-31,Willie Banks
773,bankw002,Bankston,Wes,07/02/2008,,,,2008-07-02,Wes Bankston
776,bannb001,Bannister,Brian,04/05/2006,,,,2006-04-05,Brian Bannister
781,bantb001,Bantz,Brandon,06/08/2013,,,,2013-06-08,Brandon Bantz
782,banum001,Banuelos,Manny,07/02/2015,,,,2015-07-02,Manny Banuelos
783,baptt001,Baptist,Travis,08/01/1998,,,,1998-08-01,Travis Baptist
784,barar001,Barajas,Rod,09/25/1999,,,,1999-09-25,Rod Barajas
787,barbj001,Barbato,Johnny,04/05/2016,,,,2016-04-05,Johnny Barbato
790,barbb002,Barber,Brian,08/12/1995,,,,1995-08-12,Brian Barber
797,barbb001,Barberie,Bret,06/16/1991,,,,1991-06-16,Bret Barberie
799,barcl001,Barcelo,Lorenzo,07/22/2000,,,,2000-07-22,Lorenzo Barcelo
802,bardd001,Bard,Daniel,05/13/2009,,,,2009-05-13,Daniel Bard
803,bardj001,Bard,Josh,08/23/2002,,04/04/2016,,2002-08-23,Josh Bard
804,bardb001,Barden,Brian,04/03/2007,,,,2007-04-03,Brian Barden
806,barfj001,Barfield,Jesse,09/03/1981,,04/26/1995,,1981-09-03,Jesse Barfield
807,barfj002,Barfield,John,09/07/1989,,,,1989-09-07,John Barfield
808,barfj003,Barfield,Josh,04/03/2006,,,,2006-04-03,Josh Barfield
