,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
9367,jordr002,Jordan,Ricardo,06/23/1995,,,,1995-06-23,Ricardo Jordan
9368,jordr001,Jordan,Ricky,07/17/1988,,,,1988-07-17,Ricky Jordan
9370,jords001,Jordan,Scott,09/02/1988,,,,1988-09-02,Scott Jordan
9372,jordt001,Jordan,Taylor,06/29/2013,,,,2013-06-29,Taylor Jordan
9375,jorgf001,Jorge,Felix,07/01/2017,,,,2017-07-01,Felix Jorge
9380,jorgr001,Jorgensen,Ryan,08/08/2005,,,,2005-08-08,Ryan Jorgensen
9382,jorgt001,Jorgensen,Terry,09/10/1989,,,,1989-09-10,Terry Jorgensen
9383,josef001,Jose,Felix,09/02/1988,,,,1988-09-02,Felix Jose
9385,josec002,Joseph,Caleb,05/07/2014,,,,2014-05-07,Caleb Joseph
9386,josec001,Joseph,Corban,05/13/2013,,,,2013-05-13,Corban Joseph
9387,josed001,Joseph,Donnie,07/11/2013,,,,2013-07-11,Donnie Joseph
9388,josek001,Joseph,Kevin,08/01/2002,,,,2002-08-01,Kevin Joseph
9390,joset001,Joseph,Tommy,05/13/2016,,,,2016-05-13,Tommy Joseph
9396,jourj001,Journell,Jimmy,06/29/2003,,,,2003-06-29,Jimmy Journell
9404,joycm001,Joyce,Matt,05/05/2008,,,,2008-05-05,Matt Joyce
9406,joynw001,Joyner,Wally,04/08/1986,,07/31/2007,,1986-04-08,Wally Joyner
9407,juddm001,Judd,Mike,09/28/1997,,,,1997-09-28,Mike Judd
9411,judej001,Juden,Jeff,09/15/1991,,,,1991-09-15,Jeff Juden
9412,judga001,Judge,Aaron,08/13/2016,,,,2016-08-13,Aaron Judge
9416,judyj001,Judy,Josh,05/22/2011,,,,2011-05-22,Josh Judy
9420,julij001,Julio,Jorge,04/26/2001,,,,2001-04-26,Jorge Julio
9423,junge001,Junge,Eric,09/11/2002,,,,2002-09-11,Eric Junge
9425,jungt001,Jungmann,Taylor,06/09/2015,,,,2015-06-09,Taylor Jungmann
9426,junij001,Junis,Jake,04/12/2017,,,,2017-04-12,Jake Junis
9427,jurae001,Jurak,Ed,06/30/1982,,,,1982-06-30,Ed Jurak
9431,jurrj001,Jurrjens,Jair,08/15/2007,,,,2007-08-15,Jair Jurrjens
9433,justd001,Justice,David,05/24/1989,,,,1989-05-24,David Justice
9438,kaaik001,Ka'aihue,Kila,09/04/2008,,,,2008-09-04,Kila Ka'aihue
9449,kahnt001,Kahnle,Tommy,04/03/2014,,,,2014-04-03,Tommy Kahnle
9451,kaind101,Kainer,Don,09/06/1980,,,,1980-09-06,Don Kainer
9455,kaisj001,Kaiser,Jeff,04/11/1985,,,,1985-04-11,Jeff Kaiser
9463,kalir001,Kalish,Ryan,07/31/2010,,,,2010-07-31,Ryan Kalish
9465,kamis001,Kamieniecki,Scott,06/18/1991,,,,1991-06-18,Scott Kamieniecki
9479,kangj001,Kang,Jung Ho,04/08/2015,,,,2015-04-08,Jung Ho Kang
9482,kaplg001,Kapler,Gabe,09/20/1998,,,,1998-09-20,Gabe Kapler
9485,karcm001,Karchner,Matt,07/18/1995,,,,1995-07-18,Matt Karchner
9488,karkr001,Karkovice,Ron,08/17/1986,,,,1986-08-17,Ron Karkovice
9490,karls001,Karl,Scott,05/04/1995,,,,1995-05-04,Scott Karl
9493,karnn001,Karns,Nathan,05/28/2013,,,,2013-05-28,Nathan Karns
9494,karnj001,Karnuth,Jason,04/20/2001,,,,2001-04-20,Jason Karnuth
9496,karpr001,Karp,Ryan,06/23/1995,,,,1995-06-23,Ryan Karp
9499,karre001,Karros,Eric,09/01/1991,,,,1991-09-01,Eric Karros
9500,karss001,Karsay,Steve,08/17/1993,,,,1993-08-17,Steve Karsay
9502,karsj001,Karstens,Jeff,08/22/2006,,,,2006-08-22,Jeff Karstens
9503,kasht001,Kashiwada,Takashi,05/01/1997,,,,1997-05-01,Takashi Kashiwada
9505,katam001,Kata,Matt,06/15/2003,,,,2003-06-15,Matt Kata
9512,kaufc001,Kaufman,Curt,09/10/1982,,,,1982-09-10,Curt Kaufman
9518,kawak001,Kawakami,Kenshin,04/11/2009,,,,2009-04-11,Kenshin Kawakami
9519,kawam001,Kawasaki,Munenori,04/07/2012,,,,2012-04-07,Munenori Kawasaki
9521,kayej001,Kaye,Justin,05/09/2002,,,,2002-05-09,Justin Kaye
9524,kazms002,Kazmar,Sean,08/13/2008,,,,2008-08-13,Sean Kazmar
9525,kazms001,Kazmir,Scott,08/23/2004,,,,2004-08-23,Scott Kazmir
9526,keagg001,Keagle,Greg,04/01/1996,,,,1996-04-01,Greg Keagle
9530,keara001,Kearns,Austin,04/17/2002,,,,2002-04-17,Austin Kearns
